"observedby_person_id","update_datetime","site_id","site_name","latitude","longitude","elevation_in_meters","state","species_id","genus","species","common_name","kingdom","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","phenophase_status","intensity_category_id","intensity_value","abundance_value","yr","class_id","class_name","intensity_name","intensity_type","intensity_midpoint","intensity_label"
1043,NA,950,"Crosby Sanctuary-Duval Audubon",30.178402,-81.757507,2,"FL",7,"Cercis","canadensis","eastern redbud","Plantae",925,371,"Breaking leaf buds","2010-01-10",10,0,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
1043,NA,950,"Crosby Sanctuary-Duval Audubon",30.178402,-81.757507,2,"FL",7,"Cercis","canadensis","eastern redbud","Plantae",925,371,"Breaking leaf buds","2010-02-14",45,0,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2278,NA,2255,"UNM Bio Castetter Redbud",35.08263,-106.622581,1573,"NM",7,"Cercis","canadensis","eastern redbud","Plantae",4626,371,"Breaking leaf buds","2010-02-24",55,0,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
103,NA,2335,"Home North #1",31.969622,-98.886833,546,"TX",7,"Cercis","canadensis","eastern redbud","Plantae",5002,371,"Breaking leaf buds","2010-02-24",55,0,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
103,NA,2335,"Home North #1",31.969622,-98.886833,546,"TX",7,"Cercis","canadensis","eastern redbud","Plantae",10045,371,"Breaking leaf buds","2010-02-24",55,0,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2492,NA,2447,"house",35.914932,-78.709885,118,"NC",7,"Cercis","canadensis","eastern redbud","Plantae",5127,371,"Breaking leaf buds","2010-03-01",60,1,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2278,NA,2255,"UNM Bio Castetter Redbud",35.08263,-106.622581,1573,"NM",7,"Cercis","canadensis","eastern redbud","Plantae",4626,371,"Breaking leaf buds","2010-03-02",61,0,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2278,NA,2255,"UNM Bio Castetter Redbud",35.08263,-106.622581,1573,"NM",7,"Cercis","canadensis","eastern redbud","Plantae",4626,371,"Breaking leaf buds","2010-03-04",63,0,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
2492,NA,2447,"house",35.914932,-78.709885,118,"NC",7,"Cercis","canadensis","eastern redbud","Plantae",5127,371,"Breaking leaf buds","2010-03-05",64,1,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
103,NA,2335,"Home North #1",31.969622,-98.886833,546,"TX",7,"Cercis","canadensis","eastern redbud","Plantae",10045,371,"Breaking leaf buds","2010-03-07",66,0,NA,NA,NA,2010,1,"Initial shoot or leaf growth",NA,NA,NA,NA
